rep,Range,predatorx,predatory,xMAP,yMAP,PosteriorEntropy,KLD,KLD0,KLDI,PR25,PR50,PR100,QP01,QP05,QP25,QP50,Qψ01,Qψ05,Qψ25,Qψ50,Qψ75,Qψ95,Qψ99,MP,NR25,NR50,NR100,QN01,QN05,QN25,QN50,QΘ01,QΘ05,QΘ25,QΘ50,QΘ75,QΘ95,QΘ99,MN,Nreceptors,n_likelihood_particles,n_posterior_particles,priorDensity
1.0,549.9638459742866,-203.6854900712797,510.85463002037227,14.0,297.0,18.998839669515668,-8.548675943765135,-9.372461275267247,-8.144526131563264,1.8082394895354386e-11,9.78221653977268e-7,0.006248001337946962,106.0,129.0,173.0,208.0,-172.0,-149.0,-77.0,-15.0,63.0,147.0,174.0,1.087041411727868e-8,0.0,0.0,0.0107421875,96.16247434789997,116.0896369361428,158.81377921705564,196.20592897899928,-179.30558110680818,-167.47520214729417,-87.44407551906208,1.7452721630812367,89.65227423083388,172.45399146393981,177.88126897914967,0.0,32.0,1024.0,1024.0,4.0
1.0,549.8952936265774,-203.68179904309378,510.78230068320556,61.0,322.0,18.964903847435867,-8.562628556169608,-9.305643479440997,-8.113739528073552,2.0271410986776282e-12,2.2638759335893e-7,0.003428273311847793,112.0,136.0,179.0,213.0,-173.0,-152.0,-79.0,-14.0,67.0,151.0,175.0,2.5044206045642942e-9,0.0,0.0,0.015625,95.22679952653542,115.36584363576071,160.83612734244736,197.64135727400185,-178.53578984308857,-165.8463805826346,-85.57183575529147,6.539621482656313,92.22896375591043,173.40508298899437,179.3896408633284,0.0,32.0,1024.0,1024.0,4.0
1.0,549.825203016024,-203.69267604445895,510.70250400547206,231.0,217.0,18.964772672166074,-8.534541999916415,-9.369185224053876,-8.177967702762952,1.6780170395355405e-12,1.5731282737440684e-7,0.003299909949717306,112.0,136.0,179.0,213.0,-174.0,-154.0,-82.0,-21.0,69.0,154.0,176.0,1.124264223765003e-9,0.0,0.0,0.0146484375,93.11131006234456,117.49058379785004,160.83365785359825,196.92815555980684,-179.66482141122566,-168.71519574183796,-88.37853475854227,6.415713517067473,90.01239587203881,171.6503155645145,177.824014974776,0.0,32.0,1024.0,1024.0,4.0
1.0,549.7793674611821,-203.7573391208658,510.627358883562,235.0,193.0,18.930371639670028,-8.589146701233204,-9.47250374276399,-8.088002613965578,2.166069005792903e-12,1.7814940370180422e-7,0.0038938144357213164,110.0,134.0,177.0,211.0,-174.0,-154.0,-89.0,-35.0,48.0,152.0,175.0,1.6710715821045236e-9,0.0,0.0,0.0185546875,85.58246902213747,117.41055884593518,160.84899395882684,196.49989572126384,-179.65060122441045,-168.06453947557839,-85.50724769658461,6.384995205529062,97.18301055245055,176.12366190410097,178.3072561218601,0.0,32.0,1024.0,1024.0,4.0
1.0,549.6757631958526,-203.73771748558897,510.52364011738507,-2.0,298.0,18.95856857071449,-8.590294974409447,-9.398622992595472,-8.106899074820099,5.519119688958339e-12,3.2598450519142764e-7,0.004507200372262847,109.0,132.0,175.0,209.0,-173.0,-151.0,-78.0,-19.0,55.0,150.0,175.0,1.4792780948458049e-8,0.0,0.0,0.025390625,84.84746193099039,116.60266290028636,158.8380394074228,196.93639774089314,-178.60062210372996,-166.85567096231807,-84.53933184655544,9.488979959260728,99.5905879599238,176.68460635737836,179.37830530992895,0.0,32.0,1024.0,1024.0,4.0
1.0,549.5198175379511,-203.67419216770628,510.3810863578071,231.0,189.0,19.06491199236243,-8.549873222177329,-9.22122450277204,-8.262027908056496,4.7021975956768775e-11,7.567986959203971e-7,0.006348104148362884,105.0,128.0,169.0,204.0,-175.0,-159.0,-89.0,-22.0,67.0,159.0,177.0,8.359415968742703e-9,0.0,0.0,0.0380859375,63.385386293715726,107.55177344642212,155.91414083302578,194.91805586916297,-178.9985113342424,-167.1959565902002,-85.98939453190549,10.319094713813145,101.31295137148099,177.00828452597187,178.8333480209821,0.0,32.0,1024.0,1024.0,4.0
1.0,549.3461978237993,-203.6103735220968,510.21962022021177,239.0,204.0,19.052275740987998,-8.556814017233746,-9.375327158706055,-8.316199875992458,2.0211352155641767e-11,4.7036792593132944e-7,0.004521584368032146,109.0,132.0,174.0,208.0,-175.0,-160.0,-87.0,-13.0,81.0,161.0,177.0,2.251473384356516e-9,0.0,0.0,0.044921875,63.72391569415129,104.75081816129347,155.9055079161492,193.55278760404195,-179.3994054044179,-170.3759163315281,-85.79846291590368,11.456120068708378,107.76605053941796,177.70528467407019,179.75126146090324,0.0,32.0,1024.0,1024.0,4.0
1.0,549.1500254907343,-203.5630020576176,510.0273077882835,248.0,165.0,19.08303235839837,-8.574148529857482,-9.451357162314462,-8.24966528034487,4.923266523278541e-9,8.000044829097992e-6,0.008323692466943793,103.0,126.0,168.0,203.0,-176.0,-162.0,-89.0,-10.0,104.0,166.0,178.0,8.438340704243753e-10,0.0,0.001953125,0.0439453125,62.16664460688773,103.49277813858731,155.6357042734228,193.19930175281934,-179.786872770258,-172.59130345152013,-89.54620996354022,9.711799118920577,101.7577699232855,176.84808881870237,178.65736773323786,0.0,32.0,1024.0,1024.0,4.0
1.0,548.9704688197116,-203.51107083172639,509.85470448457966,-60.0,-283.0,19.03968126382842,-8.595867489349086,-9.278650078173815,-8.21380016612758,1.2605139909533635e-9,7.954257064098597e-6,0.008781833988496171,102.0,127.0,170.0,205.0,-176.0,-163.0,-84.0,13.0,119.0,167.0,178.0,2.958259247523104e-10,0.0,0.001953125,0.0439453125,62.574670705845335,106.13182447882204,156.52514564563575,192.93167827868427,-178.86957373445946,-170.2117899695787,-92.24476719715513,9.195494258650944,107.41290580671038,177.1156503021283,179.53840986996227,0.0,32.0,1024.0,1024.0,4.0
1.0,548.7866104728341,-203.46704272929134,509.6743140057766,-78.0,-287.0,19.03761354270287,-8.59435806925769,-9.379705129559637,-8.303007077559982,1.1181812106414371e-10,2.9669686671648475e-6,0.007738166482362636,103.0,127.0,170.0,205.0,-176.0,-162.0,-82.0,1.0,116.0,167.0,178.0,3.2783759590114526e-10,0.0,0.0029296875,0.044921875,59.05209233557184,104.5406220486557,154.8724941147579,191.51007418178204,-179.15925779544517,-170.8318630362164,-91.54375809491704,1.791126604288039,106.6120218083969,176.66683698760298,179.4067398855327,0.0,32.0,1024.0,1024.0,4.0
